Date,Portfolio Value,Cash,Stock,Stock Price,Daily Return
2024-11-01,100000.0,88716.91360473633,50,225.66172790527344,
2024-11-04,99850.16479492188,89830.23872375488,45,222.66502380371094,-0.0014983520507813042
2024-11-05,99809.70901489258,89830.23872375488,45,221.76600646972656,-0.00040516487992170447
2024-11-06,99874.43771362305,90723.05641174316,41,223.2044219970703,0.0006485210644269213
2024-11-07,99844.54104614258,91612.95735168457,37,222.47523498535156,-0.00029934253613717043
2024-11-08,100020.46719360352,92294.64733886719,34,227.22999572753906,0.0017620006624061713
2024-11-11,100011.28756713867,92975.52735900879,31,226.9600067138672,-9.177748037381139e-05
2024-11-12,99926.6572265625,93648.2173461914,28,224.22999572753906,-0.00084620788947809
2024-11-13,99926.6572265625,94096.67733764648,26,224.22999572753906,0.0
2024-11-14,99949.79721069336,94546.91732788086,24,225.1199951171875,0.0002315696809349621
2024-11-15,100024.19735717773,94775.13732910156,23,228.22000122070312,0.0007443751619380379
2024-11-18,99950.13732910156,95000.13732910156,22,225.0,-0.000740421118419099
2024-11-19,100016.5774230957,95228.15733337402,21,228.02000427246094,0.0006647323932669202
2024-11-20,100022.03730773926,95456.43733215332,20,228.27999877929688,5.458979685402099e-05
2024-11-21,100036.43733215332,73701.43733215332,115,229.0,0.0001439685173554306
2024-11-22,99981.23782348633,57019.47702026367,188,228.52000427246094,-0.0005517940276472677
