date,action,quantity,price,total
2024-11-29,buy,443,225.66172790527344,99968.14546203613
2024-11-29,sell,110,222.66502380371094,24493.152618408203
2024-11-29,sell,50,221.76600646972656,11088.300323486328
2024-11-29,sell,42,223.2044219970703,9374.585723876953
2024-11-29,sell,36,222.47523498535156,8009.108459472656
2024-11-29,sell,30,227.22999572753906,6816.899871826172
2024-11-29,sell,26,226.9600067138672,5900.960174560547
2024-11-29,sell,22,224.22999572753906,4933.059906005859
2024-11-29,sell,19,224.22999572753906,4260.369918823242
2024-11-29,sell,16,225.1199951171875,3601.919921875
2024-11-29,sell,4,228.22000122070312,912.8800048828125
2024-11-29,sell,13,225.0,2925.0
2024-11-29,sell,3,228.02000427246094,684.0600128173828
2024-11-29,sell,3,228.27999877929688,684.8399963378906
2024-11-29,sell,3,229.0,687.0
2024-11-29,sell,9,228.52000427246094,2056.6800384521484
